round,global_idx,video_path,true_label,predicted_label,acq_score,strategy
1,360,data\ikeaasm\videos\Lack_TV_Bench\0039_white_floor_08_04_2019_08_28_10_38__scan_video.avi,3,0,0.9957886934280396,random
1,255,data\ikeaasm\videos\Lack_Side_Table\0033_oak_floor_06_03_2019_08_21_11_06__scan_video.avi,2,1,0.4346078038215637,random
1,311,data\ikeaasm\videos\Lack_TV_Bench\0008_white_floor_01_01_2019_08_15_11_06__scan_video.avi,3,1,0.24909426271915436,random
1,121,data\ikeaasm\videos\Lack_Coffee_Table\0012_black_table_04_02_2019_08_20_11_49__scan_video.avi,1,0,0.3256132900714874,random
1,37,data\ikeaasm\videos\Kallax_Shelf_Drawer\0012_white_table_04_02_2019_08_20_11_52__scan_video.avi,0,0,0.17258144915103912,random
1,102,data\ikeaasm\videos\Lack_Coffee_Table\0004_white_floor_01_01_2019_08_14_16_19__scan_video.avi,1,1,0.5829792022705078,random
1,240,data\ikeaasm\videos\Lack_Side_Table\0024_black_table_04_02_2019_08_20_11_12__scan_video.avi,2,0,0.7267494201660156,random
1,116,data\ikeaasm\videos\Lack_Coffee_Table\0009_white_floor_01_01_2019_08_15_11_40__scan_video.avi,1,2,0.9660009741783142,random
1,34,data\ikeaasm\videos\Kallax_Shelf_Drawer\0010_oak_floor_01_01_2019_08_15_12_04__scan_video.avi,0,0,0.8761520981788635,random
1,40,data\ikeaasm\videos\Kallax_Shelf_Drawer\0014_black_floor_05_02_2019_08_19_12_46__scan_video.avi,0,0,0.7331922650337219,random
2,10,data\ikeaasm\videos\Kallax_Shelf_Drawer\0004_oak_floor_09_04_2019_08_28_13_52__scan_video.avi,0,0,0.6414452791213989,random
2,366,data\ikeaasm\videos\Lack_TV_Bench\0042_black_floor_09_04_2019_08_28_13_35__scan_video.avi,3,0,0.22842557728290558,random
2,209,data\ikeaasm\videos\Lack_Side_Table\0007_black_table_02_01_2019_08_16_13_18__scan_video.avi,2,1,0.46049976348876953,random
2,189,data\ikeaasm\videos\Lack_Side_Table\0002_black_table_07_03_2019_08_21_17_57__scan_video.avi,2,1,0.6886679530143738,random
2,338,data\ikeaasm\videos\Lack_TV_Bench\0025_black_table_04_02_2019_08_20_13_48__scan_video.avi,3,1,0.23853221535682678,random
2,296,data\ikeaasm\videos\Lack_TV_Bench\0005_white_floor_01_01_2019_08_14_16_36__scan_video.avi,3,3,0.31018689274787903,random
2,114,data\ikeaasm\videos\Lack_Coffee_Table\0008_black_floor_01_01_2019_08_15_11_11__scan_video.avi,1,0,0.2760210335254669,random
2,264,data\ikeaasm\videos\Lack_Side_Table\0039_white_floor_08_04_2019_08_28_10_40__scan_video.avi,2,3,0.24909426271915436,random
2,84,data\ikeaasm\videos\Kallax_Shelf_Drawer\0041_white_floor_09_04_2019_08_28_12_59__scan_video.avi,0,0,0.22380821406841278,random
2,179,data\ikeaasm\videos\Lack_Coffee_Table\0044_black_floor_11_04_2019_08_28_16_57__scan_video.avi,1,0,0.28634965419769287,random
3,307,data\ikeaasm\videos\Lack_TV_Bench\0007_black_table_10_04_2019_08_28_15_44__scan_video.avi,3,0,0.6893377900123596,random
3,363,data\ikeaasm\videos\Lack_TV_Bench\0040_white_floor_08_04_2019_08_28_11_55__scan_video.avi,3,2,0.1919897496700287,random
3,204,data\ikeaasm\videos\Lack_Side_Table\0006_black_table_02_01_2019_08_16_13_38__scan_video.avi,2,2,0.45006853342056274,random
3,320,data\ikeaasm\videos\Lack_TV_Bench\0013_black_table_02_01_2019_08_16_11_45__scan_video.avi,3,0,0.5307692289352417,random
3,305,data\ikeaasm\videos\Lack_TV_Bench\0007_black_floor_01_01_2019_08_14_17_33__scan_video.avi,3,1,0.7604867219924927,random
3,82,data\ikeaasm\videos\Kallax_Shelf_Drawer\0040_oak_floor_08_04_2019_08_28_12_02__scan_video.avi,0,0,0.09962738305330276,random
3,124,data\ikeaasm\videos\Lack_Coffee_Table\0013_oak_table_02_01_2019_08_16_11_53__scan_video.avi,1,2,0.86610347032547,random
3,128,data\ikeaasm\videos\Lack_Coffee_Table\0014_white_table_10_04_2019_08_28_14_30__scan_video.avi,1,0,0.5355768799781799,random
3,1,data\ikeaasm\videos\Kallax_Shelf_Drawer\0001_oak_floor_05_02_2019_08_19_16_54__scan_video.avi,0,0,0.9434851408004761,random
3,59,data\ikeaasm\videos\Kallax_Shelf_Drawer\0026_white_floor_06_03_2019_08_21_13_50__scan_video.avi,0,1,0.09606217592954636,random
4,237,data\ikeaasm\videos\Lack_Side_Table\0023_oak_floor_06_03_2019_08_21_13_53__scan_video.avi,2,0,0.5719125270843506,random
4,251,data\ikeaasm\videos\Lack_Side_Table\0030_oak_table_04_02_2019_08_20_12_05__scan_video.avi,2,2,0.5959086418151855,random
4,319,data\ikeaasm\videos\Lack_TV_Bench\0013_black_floor_06_03_2019_08_21_14_06__scan_video.avi,3,0,0.09962738305330276,random
4,316,data\ikeaasm\videos\Lack_TV_Bench\0011_black_table_02_01_2019_08_16_11_08__scan_video.avi,3,2,0.7069584131240845,random
4,304,data\ikeaasm\videos\Lack_TV_Bench\0006_white_table_10_04_2019_08_28_14_28__scan_video.avi,3,1,0.19509917497634888,random
4,365,data\ikeaasm\videos\Lack_TV_Bench\0041_white_floor_09_04_2019_08_28_12_51__scan_video.avi,3,0,0.4579932987689972,random
4,106,data\ikeaasm\videos\Lack_Coffee_Table\0005_oak_floor_01_01_2019_08_14_16_39__scan_video.avi,1,3,0.00029694201657548547,random
4,78,data\ikeaasm\videos\Kallax_Shelf_Drawer\0038_white_table_07_03_2019_08_21_17_45__scan_video.avi,0,2,0.07052774727344513,random
4,11,data\ikeaasm\videos\Kallax_Shelf_Drawer\0004_white_floor_06_03_2019_08_21_11_49__scan_video.avi,0,0,0.4023415446281433,random
4,7,data\ikeaasm\videos\Kallax_Shelf_Drawer\0003_white_floor_01_01_2019_08_14_15_41__scan_video.avi,0,0,0.45357587933540344,random
5,260,data\ikeaasm\videos\Lack_Side_Table\0036_oak_table_07_03_2019_08_21_16_09__scan_video.avi,2,2,0.679365873336792,random
5,173,data\ikeaasm\videos\Lack_Coffee_Table\0041_oak_floor_08_04_2019_08_28_12_22__scan_video.avi,1,3,0.9509266018867493,random
5,188,data\ikeaasm\videos\Lack_Side_Table\0001_white_table_02_01_2019_08_16_13_54__scan_video.avi,2,2,0.4023415446281433,random
5,182,data\ikeaasm\videos\Lack_Coffee_Table\3945_black_floor_11_04_2019_08_28_16_45__scan_video.avi,1,3,0.4126928448677063,random
5,117,data\ikeaasm\videos\Lack_Coffee_Table\0009_white_floor_09_04_2019_08_28_13_09__scan_video.avi,1,3,0.3530663251876831,random
5,118,data\ikeaasm\videos\Lack_Coffee_Table\0010_black_floor_01_01_2019_08_15_12_00__scan_video.avi,1,3,0.21812428534030914,random
5,69,data\ikeaasm\videos\Kallax_Shelf_Drawer\0032_oak_floor_06_03_2019_08_21_11_01__scan_video.avi,0,0,0.20441700518131256,random
5,295,data\ikeaasm\videos\Lack_TV_Bench\0005_black_table_07_03_2019_08_21_15_59__scan_video.avi,3,2,0.3100045621395111,random
5,364,data\ikeaasm\videos\Lack_TV_Bench\0041_black_floor_08_04_2019_08_28_12_18__scan_video.avi,3,3,0.6043141484260559,random
5,298,data\ikeaasm\videos\Lack_TV_Bench\0006_black_floor_01_01_2019_08_14_16_59__scan_video.avi,3,3,0.8525997400283813,random
6,275,data\ikeaasm\videos\Lack_Side_Table\0045_oak_floor_11_04_2019_08_28_16_16__scan_video.avi,2,1,0.6487905979156494,random
6,224,data\ikeaasm\videos\Lack_Side_Table\0013_white_table_02_01_2019_08_16_11_42__scan_video.avi,2,0,0.5738013386726379,random
6,125,data\ikeaasm\videos\Lack_Coffee_Table\0014_black_floor_08_04_2019_08_28_11_07__scan_video.avi,1,0,0.8068373203277588,random
6,199,data\ikeaasm\videos\Lack_Side_Table\0005_black_floor_08_04_2019_08_28_11_15__scan_video.avi,2,3,0.5489856004714966,random
6,94,data\ikeaasm\videos\Lack_Coffee_Table\0002_black_floor_01_01_2019_08_14_15_30__scan_video.avi,1,1,0.6506207585334778,random
6,187,data\ikeaasm\videos\Lack_Side_Table\0001_oak_floor_05_02_2019_08_19_16_44__scan_video.avi,2,3,0.22842557728290558,random
6,52,data\ikeaasm\videos\Kallax_Shelf_Drawer\0023_black_floor_05_02_2019_08_19_16_20__scan_video.avi,0,1,0.6450059413909912,random
6,85,data\ikeaasm\videos\Kallax_Shelf_Drawer\0042_black_floor_09_04_2019_08_28_13_41__scan_video.avi,0,3,0.9911954998970032,random
6,239,data\ikeaasm\videos\Lack_Side_Table\0023_white_floor_05_02_2019_08_19_16_05__scan_video.avi,2,2,0.9240742325782776,random
6,193,data\ikeaasm\videos\Lack_Side_Table\0003_white_floor_01_01_2019_08_14_14_49__scan_video.avi,2,3,0.2886897027492523,random
7,291,data\ikeaasm\videos\Lack_TV_Bench\0004_black_floor_09_04_2019_08_28_13_47__scan_video.avi,3,3,0.5547840595245361,random
7,21,data\ikeaasm\videos\Kallax_Shelf_Drawer\0006_oak_table_04_02_2019_08_20_12_04__scan_video.avi,0,0,0.14033208787441254,random
7,273,data\ikeaasm\videos\Lack_Side_Table\0044_oak_floor_11_04_2019_08_28_17_01__scan_video.avi,2,1,0.45357587933540344,random
7,301,data\ikeaasm\videos\Lack_TV_Bench\0006_black_table_04_02_2019_08_20_12_00__scan_video.avi,3,3,0.8028413653373718,random
7,129,data\ikeaasm\videos\Lack_Coffee_Table\0015_black_table_02_01_2019_08_16_13_50__scan_video.avi,1,2,0.7203725576400757,random
7,203,data\ikeaasm\videos\Lack_Side_Table\0006_black_floor_05_02_2019_08_19_16_23__scan_video.avi,2,2,0.6322339177131653,random
7,355,data\ikeaasm\videos\Lack_TV_Bench\0036_black_table_07_03_2019_08_21_16_11__scan_video.avi,3,2,0.7818976044654846,random
7,309,data\ikeaasm\videos\Lack_TV_Bench\0007_white_table_07_03_2019_08_21_16_49__scan_video.avi,3,3,0.6886679530143738,random
7,357,data\ikeaasm\videos\Lack_TV_Bench\0036_white_floor_09_04_2019_08_28_13_26__scan_video.avi,3,0,0.15179112553596497,random
7,315,data\ikeaasm\videos\Lack_TV_Bench\0010_white_floor_01_01_2019_08_15_11_55__scan_video.avi,3,3,0.014457661658525467,random
8,14,data\ikeaasm\videos\Kallax_Shelf_Drawer\0005_black_table_07_03_2019_08_21_16_06__scan_video.avi,0,3,0.8232435584068298,random
8,313,data\ikeaasm\videos\Lack_TV_Bench\0009_white_floor_09_04_2019_08_28_13_06__scan_video.avi,3,0,0.7642002701759338,random
8,113,data\ikeaasm\videos\Lack_Coffee_Table\0007_white_table_07_03_2019_08_21_16_52__scan_video.avi,1,1,0.48074227571487427,random
8,159,data\ikeaasm\videos\Lack_Coffee_Table\0033_oak_floor_06_03_2019_08_21_11_12__scan_video.avi,1,2,0.28634965419769287,random
8,54,data\ikeaasm\videos\Kallax_Shelf_Drawer\0023_black_table_04_02_2019_08_20_14_10__scan_video.avi,0,2,0.6576824188232422,random
8,112,data\ikeaasm\videos\Lack_Coffee_Table\0007_white_table_02_01_2019_08_16_13_24__scan_video.avi,1,1,0.23070356249809265,random
8,333,data\ikeaasm\videos\Lack_TV_Bench\0023_black_floor_05_02_2019_08_19_16_11__scan_video.avi,3,2,0.5159626603126526,random
8,101,data\ikeaasm\videos\Lack_Coffee_Table\0004_oak_floor_09_04_2019_08_28_13_49__scan_video.avi,1,0,0.9504004716873169,random
